Age,Education,Skills,Interests,Recommended_Career
26,Bachelor's,firebase kotlin mobile ui,app development technology mobile technology user experience,Mobile Developer
36,Bachelor's,power bi python pandas tableau,business analytics,Data Analyst
38,Bachelor's,branding google analytics marketing automation copywriting social media marketing seo,business creativity,Digital Marketer
18,Bachelor's,network security python firewalls,privacy digital forensics,Cybersecurity Analyst
33,Master's,embedded linux rtos c,hardware electronics iot,Embedded Systems Engineer
34,Bachelor's,terraform docker kubernetes ci/cd linux monitoring,system reliability automation,DevOps Engineer
22,Master's,html javascript figma react,technology design,Frontend Developer
35,Bachelor's,react webpack figma javascript html typescript,technology user experience design,Frontend Developer
37,Master's,sql deep learning data analysis scikit-learn data visualization pandas,technology artificial intelligence analytics research,Data Scientist
27,PhD,mongodb javascript css,web development software engineering entrepreneurship technology,Full Stack Developer
27,Bachelor's,azure cloud architecture terraform ci/cd docker networking,infrastructure technology,Cloud Engineer
39,Master's,scikit-learn deep learning statistics,analytics technology,Data Scientist
32,Bachelor's,javascript sql html docker,problem solving entrepreneurship,Full Stack Developer
29,Master's,docker pytorch machine learning,automation artificial intelligence research,Machine Learning Engineer
20,Bachelor's,requirements gathering sql excel process modeling documentation business intelligence,management business,Business Analyst
25,Master's,python pandas scikit-learn sql statistics machine learning,research data science,Data Scientist
22,Bachelor's,cryptography firewalls vulnerability assessment,technology privacy problem solving digital forensics,Cybersecurity Analyst
31,Bachelor's,python docker databases system design,technology system architecture,Backend Developer
32,Master's,paper writing mathematics pytorch research,innovation technology,AI Researcher
20,PhD,opencv computer vision pytorch,computer vision research,Computer Vision Engineer
19,PhD,embedded linux serial communication assembly,automation iot electronics hardware,Embedded Systems Engineer
31,Master's,jira budgeting communication agile project planning stakeholder management,management business strategy,Project Manager
35,PhD,python deep learning pytorch,technology software engineering automation research,Machine Learning Engineer
34,Master's,object detection deep learning python data augmentation opencv,computer vision technology artificial intelligence,Computer Vision Engineer
34,Bachelor's,branding google analytics marketing automation ppc social media marketing content marketing,social media business,Digital Marketer
31,Bachelor's,prototyping wireframing figma usability testing sketch,psychology user experience creativity,UI/UX Designer
34,Bachelor's,networking docker terraform,automation cloud computing technology,Cloud Engineer
28,Master's,agile risk management scrum,leadership business strategy,Project Manager
32,Master's,assembly hardware programming c serial communication embedded linux rtos,engineering hardware,Embedded Systems Engineer
21,Bachelor's,terraform aws google cloud,automation infrastructure,Cloud Engineer
31,Master's,kubernetes google cloud aws,engineering cloud computing,Cloud Engineer
29,PhD,pandas power bi tableau python excel,finance analytics data science,Data Analyst
30,Bachelor's,kafka sql etl,technology big data infrastructure analytics,Data Engineer
39,Bachelor's,html nodejs rest api git mongodb docker,entrepreneurship problem solving,Full Stack Developer
40,Bachelor's,python deep learning computer vision image processing opencv object detection,research photography,Computer Vision Engineer
28,Bachelor's,mongodb react nodejs sql,technology software engineering entrepreneurship,Full Stack Developer
20,Master's,sql data analysis documentation,management strategy,Business Analyst
32,PhD,marketing wordpress analytics content planning,communications creativity writing,Content Strategist
19,Master's,penetration testing incident response cryptography linux,cybersecurity digital forensics technology,Cybersecurity Analyst
40,Master's,documentation process modeling stakeholder management requirements gathering,problem solving business,Business Analyst
25,Bachelor's,adobe xd css usability testing sketch ui design,psychology user experience creativity design,UI/UX Designer
25,Master's,image processing tensorflow python deep learning pytorch convolutional neural networks,artificial intelligence technology photography,Computer Vision Engineer
22,Master's,feature engineering mlops tensorflow deep learning pytorch,automation research technology artificial intelligence,Machine Learning Engineer
23,PhD,marketing automation copywriting data analysis branding social media marketing,creativity business marketing communications,Digital Marketer
23,Master's,machine learning python scikit-learn,artificial intelligence automation research software engineering,Machine Learning Engineer
24,Master's,natural language processing text classification python nltk pytorch deep learning,linguistics research,NLP Engineer
30,Bachelor's,android mobile ui ios,technology design user experience,Mobile Developer
39,Master's,html css git mongodb,web development problem solving,Full Stack Developer
38,Bachelor's,convolutional neural networks data augmentation python deep learning tensorflow opencv,photography computer vision artificial intelligence,Computer Vision Engineer
20,Master's,typescript figma ui development react responsive design html,web development creative coding technology,Frontend Developer
40,Bachelor's,business intelligence excel statistics reporting data visualization,business finance decision making,Data Analyst
28,PhD,documentation risk management agile project planning jira communication,team collaboration business strategy,Project Manager
37,Bachelor's,sql react marketing,problem solving technology,Full Stack Developer
37,Bachelor's,reporting sql power bi,data science business analytics finance,Data Analyst
37,Bachelor's,design thinking user research prototyping ui design,user experience psychology technology creativity,UI/UX Designer
39,Bachelor's,vulnerability assessment ethical hacking cryptography siem,cybersecurity problem solving technology digital forensics,Cybersecurity Analyst
27,Master's,power bi tableau data visualization business intelligence,analytics business,Data Analyst
19,Bachelor's,stakeholder management leadership seo documentation agile,strategy management team collaboration leadership,Project Manager
35,Bachelor's,python docker rest api microservices,software development system architecture problem solving,Backend Developer
29,Bachelor's,project planning scrum budgeting stakeholder management,strategy leadership management,Project Manager
25,Master's,excel pandas statistics python python,data science finance business analytics,Data Analyst
22,PhD,feature engineering scikit-learn mlops machine learning docker model deployment,research technology software engineering,Machine Learning Engineer
25,Bachelor's,terraform ci/cd linux,automation infrastructure technology engineering,DevOps Engineer
35,Master's,microservices docker sql,software development system architecture,Backend Developer
36,Bachelor's,user research css design thinking adobe xd figma sketch,technology user experience psychology creativity,UI/UX Designer
34,PhD,swift java flutter kotlin,technology mobile technology app development,Mobile Developer
29,PhD,networking docker terraform cloud architecture kubernetes azure,infrastructure engineering,Cloud Engineer
23,Bachelor's,linux firewalls vulnerability assessment python incident response,digital forensics privacy problem solving cybersecurity,Cybersecurity Analyst
33,Bachelor's,design thinking css user research,design user experience,UI/UX Designer
36,Master's,vue responsive design figma,web development user experience design,Frontend Developer
21,Bachelor's,sql pandas python,finance business analytics,Data Analyst
20,PhD,react native java swift,mobile technology app development design technology,Mobile Developer
40,Bachelor's,react sql nodejs html mongodb git,problem solving technology web development,Full Stack Developer
18,Master's,css design thinking ui design,psychology user experience,UI/UX Designer
25,Bachelor's,docker ci/cd google cloud aws kubernetes,infrastructure automation cloud computing,Cloud Engineer
35,Master's,pandas pandas sql data visualization tableau statistics,business data science analytics finance,Data Analyst
29,Bachelor's,java databases nodejs,technology software development engineering problem solving,Backend Developer
37,Master's,pytorch paper writing computer vision statistics python tensorflow,research artificial intelligence academia innovation,AI Researcher
19,Bachelor's,wordpress copywriting analytics editing seo,media writing communications,Content Strategist
20,Bachelor's,design thinking figma user research usability testing prototyping,creativity psychology user experience,UI/UX Designer
23,Bachelor's,aws kubernetes google cloud azure ci/cd,technology cloud computing automation engineering,Cloud Engineer
22,Bachelor's,tensorflow deep learning machine learning docker,automation technology software engineering research,Machine Learning Engineer
28,PhD,ppc data analysis marketing automation branding,social media marketing communications,Digital Marketer
21,Master's,responsive design pytorch spacy python,linguistics research,NLP Engineer
19,Bachelor's,google analytics ppc content marketing copywriting,communications marketing business creativity,Digital Marketer
26,Bachelor's,machine learning scikit-learn pandas numpy sql,artificial intelligence analytics,Data Scientist
40,Bachelor's,networking aws terraform ci/cd,engineering infrastructure cloud computing,Cloud Engineer
38,Bachelor's,research mathematics deep learning,innovation technology,AI Researcher
36,Master's,vue figma responsive design webpack css,user experience design technology,Frontend Developer
39,Bachelor's,rest api css react sql docker,web development entrepreneurship,Full Stack Developer
18,Master's,reporting pandas power bi python,finance data science analytics business,Data Analyst
25,Master's,css html rest api javascript,web development entrepreneurship,Full Stack Developer
37,Master's,react css git,problem solving software engineering technology,Full Stack Developer
22,Bachelor's,figma webpack ui development vue,creative coding web development technology,Frontend Developer
20,Master's,image processing convolutional neural networks data augmentation object detection pytorch python,computer vision artificial intelligence,Computer Vision Engineer
37,Master's,pytorch python model deployment docker,technology software engineering artificial intelligence research,Machine Learning Engineer
18,Bachelor's,python excel power bi,decision making finance data science,Data Analyst
36,Bachelor's,c++ assembly rtos c iot serial communication,iot automation engineering,Embedded Systems Engineer
24,Bachelor's,object detection deep learning convolutional neural networks tensorflow image processing,artificial intelligence research computer vision photography,Computer Vision Engineer
18,Bachelor's,data analysis marketing automation content marketing ppc copywriting,social media communications business,Digital Marketer
35,Bachelor's,sql computer vision opencv object detection deep learning tensorflow,photography artificial intelligence,Computer Vision Engineer
22,Master's,android firebase swift ios mobile ui rest api,technology mobile technology,Mobile Developer
39,Master's,excel requirements gathering stakeholder management business intelligence data analysis,management analytics,Business Analyst
31,PhD,google analytics seo marketing automation branding,social media marketing,Digital Marketer
37,Master's,adobe xd css ui design prototyping,user experience psychology,UI/UX Designer
28,Master's,feature engineering pytorch deep learning,technology artificial intelligence automation,Machine Learning Engineer
18,PhD,stakeholder management requirements gathering process modeling,analytics business,Business Analyst
27,Master's,marketing automation google analytics data analysis branding content marketing seo,creativity communications,Digital Marketer
33,Bachelor's,kubernetes linux aws google cloud,infrastructure technology,Cloud Engineer
40,PhD,budgeting documentation scrum agile risk management,team collaboration strategy business leadership,Project Manager
18,PhD,stakeholder management documentation communication risk management project planning,leadership team collaboration business management,Project Manager
31,Bachelor's,docker git rest api nodejs javascript statistics,problem solving entrepreneurship,Full Stack Developer
29,Master's,css react figma javascript html,technology web development design,Frontend Developer
29,Bachelor's,python image processing tensorflow opencv,computer vision artificial intelligence photography,Computer Vision Engineer
40,Master's,c serial communication hardware programming assembly pcb design,hardware engineering,Embedded Systems Engineer
25,Master's,git mongodb nodejs rest api css,software engineering technology,Full Stack Developer
27,Master's,linux incident response network security cryptography siem penetration testing,digital forensics technology problem solving cybersecurity,Cybersecurity Analyst
39,Bachelor's,nodejs microservices python,engineering software development system architecture problem solving,Backend Developer
28,Master's,terraform ansible kubernetes monitoring git,technology automation infrastructure,DevOps Engineer
38,Master's,sql java databases rest api,problem solving software development engineering system architecture,Backend Developer
27,Master's,power bi sql excel documentation process modeling stakeholder management,analytics problem solving management,Business Analyst
39,Bachelor's,firewalls vulnerability assessment linux,digital forensics problem solving privacy,Cybersecurity Analyst
24,Bachelor's,adobe xd figma usability testing sketch,design psychology,UI/UX Designer
21,Master's,css mongodb javascript html,software engineering problem solving web development technology,Full Stack Developer
28,PhD,communication stakeholder management documentation scrum leadership,business management,Project Manager
31,Bachelor's,communication agile risk management documentation budgeting,business strategy team collaboration,Project Manager
40,PhD,email marketing content marketing google analytics branding,creativity marketing social media,Digital Marketer
33,Bachelor's,deep learning pytorch opencv convolutional neural networks,research artificial intelligence photography computer vision,Computer Vision Engineer
23,Master's,budgeting leadership stakeholder management communication project planning,strategy business,Project Manager
27,Bachelor's,html react typescript,design creative coding,Frontend Developer
31,Bachelor's,email marketing social media marketing data analysis,business creativity marketing social media,Digital Marketer
33,PhD,aws linux ci/cd,technology infrastructure cloud computing automation,Cloud Engineer
29,Bachelor's,model deployment mlops machine learning tensorflow,research technology,Machine Learning Engineer
22,Bachelor's,mlops pytorch deep learning tensorflow python feature engineering,research software engineering,Machine Learning Engineer
23,Bachelor's,networking google cloud terraform kubernetes docker,technology infrastructure cloud computing,Cloud Engineer
38,Bachelor's,statistics data analysis python,technology artificial intelligence,Data Scientist
38,Master's,spacy python deep learning,research linguistics artificial intelligence language,NLP Engineer
20,Bachelor's,networking ci/cd google cloud,engineering automation infrastructure technology,Cloud Engineer
34,PhD,pandas reporting sql data visualization power bi,data science decision making,Data Analyst
38,Master's,statistics business intelligence data visualization python,decision making business data science finance,Data Analyst
35,Master's,javascript html webpack,user experience creative coding,Frontend Developer
26,Master's,python databases rest api,technology problem solving,Backend Developer
37,Bachelor's,cloud architecture kubernetes ci/cd google cloud docker,technology infrastructure,Cloud Engineer
20,Bachelor's,requirements gathering business intelligence stakeholder management power bi,management business,Business Analyst
19,PhD,terraform kubernetes docker cloud architecture google cloud azure,cloud computing engineering,Cloud Engineer
23,Master's,kubernetes ansible terraform monitoring git reporting,automation technology system reliability infrastructure,DevOps Engineer
24,PhD,excel business intelligence documentation power bi sql stakeholder management,problem solving strategy business,Business Analyst
34,Master's,python mlops feature engineering tensorflow docker,technology software engineering,Machine Learning Engineer
29,Bachelor's,deep learning pytorch machine learning mlops model deployment feature engineering,research artificial intelligence,Machine Learning Engineer
20,PhD,network security siem penetration testing ethical hacking incident response,cybersecurity problem solving privacy,Cybersecurity Analyst
28,Master's,machine learning model deployment deep learning python,automation software engineering,Machine Learning Engineer
33,Master's,sql data visualization pandas,business data science,Data Analyst
22,PhD,communication scrum risk management,leadership business team collaboration management,Project Manager
20,Master's,java rest api flutter mobile ui firebase,user experience technology mobile technology,Mobile Developer
25,Bachelor's,content planning storytelling marketing wordpress,marketing media creativity writing,Content Strategist
31,PhD,c iot pcb design serial communication rtos,electronics automation engineering iot,Embedded Systems Engineer
40,Bachelor's,email marketing marketing automation branding social media marketing,communications creativity social media business,Digital Marketer
33,Bachelor's,business intelligence reporting pandas,finance analytics,Data Analyst
31,Bachelor's,ci/cd azure cloud architecture excel google cloud,cloud computing technology infrastructure,Cloud Engineer
33,Master's,iot microcontrollers pcb design hardware programming rtos c,hardware engineering electronics automation,Embedded Systems Engineer
36,Master's,embedded linux assembly iot c c++,iot electronics engineering,Embedded Systems Engineer
27,Bachelor's,sql javascript react,web development entrepreneurship,Full Stack Developer
28,Bachelor's,microservices rest api spring boot nodejs,software development problem solving technology,Backend Developer
22,Master's,reporting power bi pandas data visualization business intelligence,finance data science analytics,Data Analyst
37,PhD,ci/cd aws google cloud,infrastructure technology engineering cloud computing,Cloud Engineer
26,Bachelor's,numpy scikit-learn statistics sql machine learning,artificial intelligence research,Data Scientist
27,PhD,git sql rest api react nodejs,software engineering technology problem solving,Full Stack Developer
21,Master's,prototyping adobe xd usability testing figma,design technology psychology user experience,UI/UX Designer
19,Bachelor's,monitoring terraform aws ansible linux docker,automation infrastructure system reliability technology,DevOps Engineer
30,Bachelor's,social media wordpress copywriting,writing marketing,Content Strategist
35,PhD,c microcontrollers assembly hardware programming,electronics iot automation,Embedded Systems Engineer
35,PhD,rtos c iot c++ pcb design serial communication,iot automation hardware,Embedded Systems Engineer
36,Bachelor's,risk management mlops tensorflow,research artificial intelligence,Machine Learning Engineer
30,Bachelor's,cryptography incident response ethical hacking python vulnerability assessment linux,cybersecurity technology privacy,Cybersecurity Analyst
39,Bachelor's,ios react native kotlin swift java,design app development technology mobile technology,Mobile Developer
38,Bachelor's,mlops deep learning docker python machine learning feature engineering,artificial intelligence software engineering research technology,Machine Learning Engineer
22,PhD,figma html responsive design typescript,creative coding design user experience web development,Frontend Developer
28,Bachelor's,c pcb design embedded linux,iot engineering hardware,Embedded Systems Engineer
23,Master's,microservices databases python system design,technology system architecture engineering,Backend Developer
32,PhD,docker nodejs spring boot databases python,technology software development problem solving engineering,Backend Developer
23,Bachelor's,tensorflow research deep learning mathematics computer vision,technology academia research,AI Researcher
38,Bachelor's,leadership risk management scrum stakeholder management documentation jira,leadership strategy management,Project Manager
29,Bachelor's,ci/cd linux terraform,infrastructure technology engineering automation,DevOps Engineer
38,Master's,deep learning python mlops,automation software engineering,Machine Learning Engineer
38,Master's,agile power bi data analysis sql business intelligence,strategy management problem solving,Business Analyst
18,Master's,css figma javascript,design creative coding technology user experience,Frontend Developer
18,Master's,marketing copywriting storytelling analytics seo content planning,marketing media,Content Strategist
35,Master's,sql scikit-learn statistics deep learning,technology analytics data science research,Data Scientist
19,Master's,excel business intelligence python data visualization sql,analytics decision making data science business,Data Analyst
31,Bachelor's,transformers python spacy,research technology language artificial intelligence,NLP Engineer
21,Bachelor's,git kubernetes linux monitoring,system reliability automation,DevOps Engineer
26,Bachelor's,spark python data pipelines airflow cloud platforms data warehousing,technology data engineering,Data Engineer
25,Master's,excel statistics pandas data visualization,business data science analytics,Data Analyst
22,Bachelor's,storytelling social media editing,communications creativity media marketing,Content Strategist
32,Master's,computer vision research natural language processing paper writing python deep learning,technology innovation,AI Researcher
23,Master's,python siem penetration testing,digital forensics cybersecurity,Cybersecurity Analyst
40,PhD,agile scrum communication,management team collaboration business leadership,Project Manager
34,PhD,firewalls python network security vulnerability assessment ethical hacking,cybersecurity digital forensics technology privacy,Cybersecurity Analyst
20,PhD,tensorflow python research statistics deep learning,academia innovation technology,AI Researcher
27,Bachelor's,analytics social media content planning wordpress content writing editing,media creativity,Content Strategist
26,Master's,c iot c++ microcontrollers pcb design hardware programming,hardware iot,Embedded Systems Engineer
29,Master's,ci/cd aws google cloud networking terraform cloud architecture,automation technology engineering cloud computing,Cloud Engineer
26,Bachelor's,content writing storytelling wordpress,writing marketing media communications,Content Strategist
39,Master's,python data analysis deep learning numpy statistics,data science research technology artificial intelligence,Data Scientist
29,PhD,kubernetes azure aws ci/cd networking,technology cloud computing infrastructure,Cloud Engineer
33,Bachelor's,pytorch bert transformers,research linguistics,NLP Engineer
24,Bachelor's,git html docker mongodb,web development problem solving entrepreneurship,Full Stack Developer
19,Bachelor's,react html sql css rest api,technology entrepreneurship,Full Stack Developer
23,Master's,css figma sketch user research,creativity psychology design,UI/UX Designer
18,PhD,stakeholder management data analysis process modeling,strategy analytics problem solving,Business Analyst
30,Bachelor's,html responsive design webpack,web development creative coding,Frontend Developer
22,Master's,natural language processing deep learning huggingface text classification,research linguistics artificial intelligence technology,NLP Engineer
24,Bachelor's,sql power bi stakeholder management agile documentation requirements gathering,management problem solving strategy,Business Analyst
34,Bachelor's,editing marketing storytelling,media writing communications,Content Strategist
40,Master's,opencv python pytorch,technology photography,Computer Vision Engineer
25,Bachelor's,cryptography penetration testing network security,privacy problem solving,Cybersecurity Analyst
24,Bachelor's,business intelligence agile excel sql,analytics business problem solving management,Business Analyst
25,Bachelor's,marketing automation content marketing data analysis branding,business social media marketing,Digital Marketer
19,Master's,pcb design rtos c++ embedded linux assembly,iot electronics hardware,Embedded Systems Engineer
34,Master's,analytics editing content writing copywriting wordpress storytelling,writing creativity,Content Strategist
33,Master's,business intelligence data visualization reporting excel,decision making finance business data science,Data Analyst
31,Master's,ethical hacking python cryptography incident response linux,digital forensics privacy cybersecurity,Cybersecurity Analyst
24,PhD,computer vision image processing deep learning convolutional neural networks pytorch,artificial intelligence technology,Computer Vision Engineer
19,Master's,spring boot docker microservices sql java system design,technology software development engineering,Backend Developer
22,PhD,serial communication pcb design embedded linux,automation engineering electronics,Embedded Systems Engineer
27,Bachelor's,sql java python rest api docker,engineering software development technology,Backend Developer
27,Master's,scikit-learn machine learning pytorch feature engineering,automation software engineering research,Machine Learning Engineer
40,Bachelor's,research pytorch mathematics natural language processing paper writing,technology artificial intelligence innovation research,AI Researcher
24,Bachelor's,azure google cloud kubernetes,engineering infrastructure cloud computing technology,Cloud Engineer
24,Bachelor's,css wireframing usability testing prototyping user research,design technology,UI/UX Designer
32,Master's,azure ci/cd cloud architecture aws linux,cloud computing infrastructure automation,Cloud Engineer
24,PhD,statistics tensorflow mathematics,technology artificial intelligence academia innovation,AI Researcher
27,Bachelor's,power bi sql documentation,management problem solving analytics strategy,Business Analyst
39,PhD,monitoring kubernetes ci/cd aws docker ansible,infrastructure automation system reliability,DevOps Engineer
35,Bachelor's,spark kafka data warehousing sql hadoop python,big data technology,Data Engineer
37,Master's,siem ethical hacking firewalls,technology privacy cybersecurity,Cybersecurity Analyst
39,Master's,python spacy huggingface transformers pytorch,research artificial intelligence,NLP Engineer
28,Bachelor's,siem network security python incident response,technology digital forensics cybersecurity privacy,Cybersecurity Analyst
40,Master's,figma usability testing ui design wireframing,psychology user experience design creativity,UI/UX Designer
27,Bachelor's,rest api react mongodb html,entrepreneurship problem solving web development,Full Stack Developer
20,Master's,shell scripting aws terraform ansible docker,automation technology infrastructure system reliability,DevOps Engineer
38,Bachelor's,deep learning data visualization data analysis sql machine learning,technology data science,Data Scientist
21,PhD,ci/cd linux shell scripting docker,automation engineering infrastructure,DevOps Engineer
36,Master's,agile communication stakeholder management leadership budgeting documentation,strategy business,Project Manager
31,PhD,reporting power bi sql,business decision making analytics,Data Analyst
39,Master's,branding marketing automation content marketing ppc copywriting,marketing communications,Digital Marketer
19,PhD,data analysis branding social media marketing ppc seo,marketing creativity communications social media,Digital Marketer
27,Master's,deep learning computer vision pytorch statistics,research innovation,AI Researcher
40,Bachelor's,power bi business intelligence python pandas,business analytics,Data Analyst
39,Master's,mathematics python deep learning,technology research artificial intelligence,AI Researcher
22,Master's,object detection data augmentation opencv computer vision,computer vision photography,Computer Vision Engineer
19,PhD,ethical hacking siem firewalls incident response network security,privacy digital forensics,Cybersecurity Analyst
40,Bachelor's,ci/cd scikit-learn feature engineering,software engineering artificial intelligence,Machine Learning Engineer
18,Bachelor's,storytelling marketing content writing editing content planning seo,media communications marketing creativity,Content Strategist
25,Bachelor's,spring boot nodejs python java,problem solving technology,Backend Developer
26,PhD,c pcb design rtos embedded linux,hardware engineering electronics iot,Embedded Systems Engineer
26,Master's,etl data pipelines sql,analytics data engineering technology,Data Engineer
36,Master's,html webpack responsive design react typescript,web development design,Frontend Developer
31,Bachelor's,model deployment mlops docker scikit-learn machine learning deep learning,research technology automation,Machine Learning Engineer
25,Master's,paper writing mathematics computer vision research tensorflow,research innovation artificial intelligence academia,AI Researcher
40,Master's,react javascript rest api,problem solving web development software engineering technology,Full Stack Developer
33,PhD,branding scrum communication,strategy team collaboration,Project Manager
24,Master's,nodejs rest api css javascript html,problem solving entrepreneurship web development,Full Stack Developer
30,Bachelor's,spark sql airflow hadoop,big data infrastructure data engineering analytics,Data Engineer
34,Bachelor's,cryptography vulnerability assessment siem,technology privacy,Cybersecurity Analyst
28,Bachelor's,usability testing adobe xd wireframing css user research,design user experience,UI/UX Designer
34,Bachelor's,image processing opencv deep learning data augmentation computer vision,photography technology,Computer Vision Engineer
20,Bachelor's,linux ethical hacking vulnerability assessment siem,digital forensics problem solving,Cybersecurity Analyst
29,PhD,css html react,web development software engineering,Full Stack Developer
18,PhD,kafka spark data pipelines python,data engineering analytics technology,Data Engineer
38,Bachelor's,deep learning pytorch computer vision natural language processing statistics,artificial intelligence research,AI Researcher
32,Master's,sql pandas machine learning scikit-learn numpy,technology analytics artificial intelligence,Data Scientist
39,Bachelor's,ethical hacking penetration testing siem network security,cybersecurity technology privacy digital forensics,Cybersecurity Analyst
24,Bachelor's,microservices python java,problem solving system architecture engineering,Backend Developer
39,PhD,project planning communication agile risk management,team collaboration management,Project Manager
27,Master's,mathematics deep learning pytorch statistics,artificial intelligence research academia,AI Researcher
19,Bachelor's,serial communication rtos iot hardware programming c,engineering electronics hardware iot,Embedded Systems Engineer
18,Master's,pytorch tensorflow natural language processing,academia artificial intelligence,AI Researcher
20,Master's,siem python penetration testing ethical hacking linux vulnerability assessment,cybersecurity privacy technology digital forensics,Cybersecurity Analyst
28,Bachelor's,sql airflow data pipelines data warehousing kafka hadoop,technology big data data engineering infrastructure,Data Engineer
32,Master's,figma css wireframing,technology psychology creativity,UI/UX Designer
27,PhD,cryptography firewalls incident response,problem solving privacy digital forensics,Cybersecurity Analyst
20,Bachelor's,scikit-learn mlops tensorflow,software engineering technology,Machine Learning Engineer
26,Bachelor's,python sql hadoop data warehousing kafka,big data technology,Data Engineer
36,Bachelor's,kubernetes google cloud linux ci/cd cloud architecture,infrastructure engineering technology,Cloud Engineer
19,Master's,python microservices rest api nodejs,system architecture engineering software development,Backend Developer
28,Master's,nodejs docker spring boot,software development system architecture technology,Backend Developer
35,Bachelor's,computer vision convolutional neural networks opencv deep learning,computer vision technology,Computer Vision Engineer
30,Master's,paper writing mathematics tensorflow,artificial intelligence technology,AI Researcher
18,Bachelor's,editing social media marketing storytelling analytics,media creativity,Content Strategist
23,Bachelor's,copywriting marketing automation data analysis,marketing social media,Digital Marketer
37,Master's,pytorch opencv image processing convolutional neural networks,research computer vision,Computer Vision Engineer
30,Bachelor's,system design databases sql docker nodejs microservices,system architecture software development problem solving technology,Backend Developer
25,Bachelor's,python deep learning sql statistics scikit-learn,research artificial intelligence,Data Scientist
34,Bachelor's,feature engineering python tensorflow pytorch,software engineering research,Machine Learning Engineer
19,Bachelor's,huggingface text classification bert,research technology artificial intelligence language,NLP Engineer
22,Bachelor's,azure google cloud networking terraform,engineering infrastructure cloud computing,Cloud Engineer
25,Bachelor's,firebase android flutter,mobile technology technology,Mobile Developer
24,Master's,kafka cloud platforms airflow sql hadoop,technology infrastructure analytics data engineering,Data Engineer
21,Master's,wordpress editing copywriting content planning,media creativity communications,Content Strategist
21,Bachelor's,cryptography linux python siem,privacy technology,Cybersecurity Analyst
19,Bachelor's,reporting statistics tableau excel,finance decision making,Data Analyst
20,PhD,sql pandas machine learning deep learning data analysis,analytics research technology artificial intelligence,Data Scientist
26,PhD,ui design prototyping design thinking wireframing css,technology user experience,UI/UX Designer
27,Bachelor's,usability testing wireframing adobe xd,design creativity technology,UI/UX Designer
39,PhD,ppc google analytics social media marketing content marketing seo,business creativity social media,Digital Marketer
40,Bachelor's,airflow data pipelines cloud platforms,technology big data analytics infrastructure,Data Engineer
20,Bachelor's,kubernetes ci/cd monitoring shell scripting linux git,infrastructure system reliability,DevOps Engineer
31,Master's,sql requirements gathering process modeling,management problem solving business,Business Analyst
32,Bachelor's,pcb design microcontrollers hardware programming,iot engineering,Embedded Systems Engineer
29,Bachelor's,terraform aws shell scripting linux ansible ci/cd,system reliability automation technology infrastructure,DevOps Engineer
27,PhD,tableau excel sql reporting,data science analytics,Data Analyst
20,Bachelor's,webpack responsive design figma typescript,user experience web development creative coding,Frontend Developer
27,Master's,seo ppc marketing automation copywriting social media marketing google analytics,marketing communications creativity business,Digital Marketer
30,Bachelor's,spark cloud platforms airflow python kafka etl,analytics data engineering,Data Engineer
22,Master's,data visualization reporting sql python statistics,data science business,Data Analyst
34,Bachelor's,docker git terraform kubernetes linux,engineering system reliability technology infrastructure,DevOps Engineer
20,Master's,data analysis seo content marketing,social media business,Digital Marketer
19,Master's,paper writing pytorch statistics natural language processing computer vision python,academia research,AI Researcher
22,Bachelor's,deep learning data visualization data analysis,artificial intelligence analytics research technology,Data Scientist
38,Master's,python tensorflow image processing object detection pytorch,technology computer vision photography,Computer Vision Engineer
22,Bachelor's,documentation stakeholder management process modeling business intelligence agile sql,business management,Business Analyst
37,Bachelor's,networking aws google cloud cloud architecture terraform,cloud computing technology,Cloud Engineer
18,Bachelor's,model deployment mlops pytorch,automation artificial intelligence software engineering,Machine Learning Engineer
34,Bachelor's,vue webpack figma ui development,web development technology creative coding,Frontend Developer
36,Bachelor's,jira budgeting project planning stakeholder management scrum,strategy business team collaboration,Project Manager
28,Master's,figma vue webpack typescript ui development,user experience creative coding web development design,Frontend Developer
19,PhD,nltk huggingface natural language processing python transformers spacy,linguistics language research,NLP Engineer
20,Bachelor's,kubernetes shell scripting docker aws linux terraform,technology infrastructure,DevOps Engineer
31,Bachelor's,text classification nltk spacy deep learning natural language processing,language linguistics artificial intelligence,NLP Engineer
23,Bachelor's,data pipelines kafka data warehousing cloud platforms,technology analytics data engineering big data,Data Engineer
20,Master's,bert nltk deep learning natural language processing text classification,language linguistics,NLP Engineer
35,Master's,google analytics email marketing copywriting marketing automation,social media communications,Digital Marketer
24,Bachelor's,excel agile documentation,analytics strategy problem solving,Business Analyst
30,Bachelor's,ci/cd aws terraform docker,engineering technology cloud computing automation,Cloud Engineer
19,Master's,transformers natural language processing spacy nltk text classification,technology artificial intelligence,NLP Engineer
39,Bachelor's,huggingface spacy deep learning,language research artificial intelligence technology,NLP Engineer
30,Bachelor's,tableau excel statistics business intelligence reporting sql,data science decision making finance,Data Analyst
18,Bachelor's,aws ci/cd linux monitoring ansible,engineering system reliability automation technology,DevOps Engineer
25,Master's,ui design usability testing sketch prototyping adobe xd,design psychology,UI/UX Designer
34,Master's,opencv python image processing object detection convolutional neural networks,technology photography,Computer Vision Engineer
30,Master's,data warehousing spark airflow hadoop data pipelines,big data infrastructure,Data Engineer
30,PhD,ci/cd ethical hacking aws shell scripting linux,automation technology,DevOps Engineer
